Nombre,Precio,Stock,Descripcion,Categoria
iPhone 14 Pro,899.99,15,Smartphone Apple con pantalla Super Retina,Celulares
Samsung Galaxy S23,799.99,20,Smartphone Samsung con cámara de 50MP,Celulares
MacBook Air M2,1299.99,8,Laptop Apple con chip M2,Computación
Dell XPS 13,999.99,12,Laptop ultrabook con pantalla 4K,Computación
AirPods Pro,249.99,30,Audífonos inalámbricos con cancelación de ruido,Audio
Sony WH-1000XM5,349.99,25,Audífonos over-ear con cancelación de ruido,Audio
iPad Air,599.99,18,Tablet Apple con pantalla Liquid Retina,Tablets
Surface Pro 9,1099.99,10,Tablet Microsoft 2-en-1,Tablets
Apple Watch Series 8,399.99,22,Reloj inteligente con GPS,Wearables
Fitbit Charge 5,149.99,40,Pulsera de actividad con GPS,Wearables
